"","finalChoice","switch","outcome"
"1","C","Yes","Lose"
"2","C","Yes","Lose"
"3","B","Yes","Lose"
"4","C","Yes","Win"
"5","B","Yes","Win"
"6","A","No","Lose"
"7","A","No","Win"
"8","A","No","Lose"
"9","A","No","Win"
"10","A","No","Lose"
"11","C","Yes","Win"
"12","A","Yes","Win"
"13","A","Yes","Win"
"14","C","Yes","Win"
"15","A","Yes","Win"
"16","B","No","Lose"
"17","B","No","Lose"
"18","B","No","Win"
"19","B","No","Lose"
"20","B","No","Win"
"21","A","Yes","Win"
"22","A","Yes","Lose"
"23","B","Yes","Win"
"24","B","Yes","Win"
"25","B","Yes","Win"
"26","C","No","Lose"
"27","C","No","Lose"
"28","C","No","Lose"
"29","C","No","Win"
"30","C","No","Lose"
